Atlanta,0.79,0.65,0.84,0.64
Boston,0.94,0.18,0.93,0.18
Calgary,0.23,0.09,0.21,0.07
Charleston,0.89,0.65,0.93,0.65
Denver,0.40,0.54,0.43,0.53
Duluth,0.56,0.29,0.53,0.27
Chicago,0.69,0.39,0.72,0.42
El Paso,0.38,0.84,0.35,0.88
Houston,0.60,0.86,0.63,0.89
Kansas City,0.56,0.53,0.59,0.56
Las Vegas,0.20,0.68,0.23,0.70
Little Rock,0.63,0.66,0.68,0.69
Miami,0.92,0.91,0.94,0.92
Los Angeles,0.13,0.77,0.10,0.79
Nashville,0.74,0.58,0.78,0.58
New Orleans,0.69,0.86,0.69,0.88
New York,0.91,0.30,0.96,0.31
Helena,0.33,0.31,0.29,0.32
Oklahoma City,0.54,0.66,0.50,0.62
Montreal,0.89,0.09,0.92,0.05
Pittsburgh,0.83,0.36,0.88,0.37
Portland,0.07,0.29,0.10,0.33
Saint Louis,0.65,0.52,0.69,0.54
Salt Lake City,0.26,0.51,0.20,0.47
San Francisco,0.06,0.59,0.13,0.63
Santa Fe,0.38,0.69,0.35,0.67
Raleigh,0.85,0.55,0.82,1.42
Sault St. Marie,0.69,0.19,0.69,0.12
Dallas,0.56,0.80,0.59,0.79
Toronto,0.81,0.22,0.84,0.22
Vancouver,0.10,0.12,0.06,0.10
Omaha,0.54,0.44,0.58,0.45
Seattle,0.09,0.21,0.06,0.20
Phoenix,0.26,0.77,0.23,0.80
Washington,0.92,0.44,0.96,0.46
Winnipeg,0.45,0.11,0.48,0.09
